BioProject,Title,Description,ReleaseDate,DataType,CenterName,Relevance,GEO,SubmissionID
PRJNA1128664,KIL transcription factors facilitate embryo growth in maize by promoting endosperm elimination via lytic cell death,"The endosperm is a transient nutritive tissue in plant seeds. During maize grain development, two distinct endosperm cell death processes occur. The endosperm adjacent to the embryo scutellum (EAS) is completely dismantled, whereas the starchy endosperm (SE) retains nutrient-packed cell corpses after grain filling. Here, we show that SE cell death selectively degrades some organelles including mitochondria and the endoplasmic reticulum, while preserving protein bodies, starch granules, and chromatin. In contrast, EAS cells undergo lytic cell death to remobilize stored nutrients through a complex corpse clearance process. Using single-cell transcriptome analysis, we identified two NAC transcription factors, KIL1 and KIL2, as specifically upregulated in the EAS. Dominant and recessive loss-of-function studies demonstrate that these genes redundantly promote cell death execution and corpse clearance in the EAS, but are not required for SE cell death. Reduced EAS cell death in KIL loss-of-function lines significantly impeded embryo growth, indicating that EAS elimination is crucial for optimal embryo development. Notably, kil1 and kil2 gene expression is regulated by DOSAGE-EFFECT DEFECTIVE1, an imprinted paternally expressed endosperm transcription factor. Our findings suggest paternal control over EAS cell death and the embryo-endosperm size ratio in maize, providing new leads to modulate this agronomically important trait. Overall design: Single-nucleus RNA-seq experiments were performed on nuclei extracted from endosperm of maize (B73) kernels.",2024-06-26,Transcriptome or Gene expression,"Vascular Development, Center for Plant Systems Biology, VIB",yes,GSE270866,SUB15671829
PRJNA1128550,KIL1 and KIL2 promote endosperm elimination in maize,"The endosperm is a nutritive tissue that supports the growing embryo. Endosperm life span is restricted to seed development and germination. During maize kernel development in maize, two distinct endosperm cell death processes occur. The endosperm adjacent to the embryo scutellum (EAS) undergoes a lytic cell death supposedly to allow embryo expansion, whereas the starchy endosperm (SE) dies after kernel filling producing cell corpses that store nutrients required during germination. Here, we present a detailed analysis of these divergent cell death processes. During SE cell death, mitochondria, nuclei, and the endoplasmic reticulum disintegrate, while nuclear chromatin, cell walls, starch granules, and protein bodies are preserved. In contrast, EAS cells remobilize their stored nutrients, secrete extracellular vesicles, before the cells collapse and a complex post-mortem corpse clearance process ensues. Using single-nucleus RNA-sequencing transcriptome analysis of the developing endosperm, we identified the NAC transcription factors KIL1 and KIL2 as specifically expressed in the EAS. Dominant and recessive loss-of-function approaches demonstrate that KIL1 and KIL2 redundantly promote cell death execution and corpse clearance of the EAS, but are not required for SE cell death. The reduction of EAS cell death in loss-of-function lines strongly impeded embryo growth. Interestingly, KIL1 and KIL2 expression are promoted by DED1, an imprinted paternally expressed transcription factor, suggesting a paternal control over EAS cell death and embryo growth in maize. Overall design: To investigate the consequence of KIL1 and KIL2 loss of function we carried out an RNA-seq on EAS enriched endosperm, 19 days after pollination",2024-06-26,Transcriptome or Gene expression,"MorphoFlo, RDP, ENS de Lyon",yes,GSE270812,SUB15437442
PRJNA1127697,Zea mays Transcriptome or Gene expression,"We identified a maize inbred line, QY1, with superior stalk mechanical strength.",2024-06-24,transcriptome,Qingdao Agricultural University,no,,SUB14559203
PRJNA1126090,Transcriptome sequencing of leaves in Zea mays L.,To identify the key genes involved in the regulatory mechanism of 5-aminolevulinic acid under salt stress. Transcriptomics analysis was performed.,2024-06-20,raw sequence reads,Suzhou university,no,,SUB14549291
PRJNA1121306,Comparative Transcriptome Analysis Reveals the Resistance Mechanism to Exserohilum turcicum in Maize,"To further reveal the molecular mechanism of maize disease resistance to E. turcicum at the transcriptome level, we performed RNA-seq analysis in the resistant maize inbred lines (J9D207) and susceptible maize inbred lines (PH4CV). Furthermore, a comparative transcriptome profiling analysis of DEGs, GO (Gene Ontology) functional enrichment, KEGG (Kyoto Encyclopedia of Genes and Genomes) and co-expression networks were performed in this study. These results will provide a new insight into the resistance mechanism in maize against E. turcicum invasions and theoretical basis for breeding resistant varieties.",2024-06-07,raw sequence reads,Jilin Agricultural University,no,,SUB14503689
PRJNA1119563,The maize regulatory landscape at single molecule resolution,"The evolution of the maize genome is intertwined with that of mobile DNA elements, yet the highly repetitive architecture of these mobile elements has limited our understanding of how these elements are organizing Maize genome regulation.impacting the precise which play a central role in is largely composed of repetitive DNA, including many retrotransposons and DNA transposons, posing challenges for short-read mapping of regulatory regions by ATAC-seq. Here, we demonstrate applied long-read the single-molecule chromatin fiber sequencing (, long-read assay Fiber-seq) for uniquely resolving the to maize to determine accessible chromatin regions and CpG methylation landscape of the maize genome, including XX% of the annotated mobile elements. irrespective of mappability. We demonstrate that Fiber-seq markedly improves our annotation of the maize regulatory grammer - enabling the single-nucleotide and single-molecule precise mapping of regulatory architectures that have escaped detection by short-read methods. doubling the number of maize grammer provides single-nucleotide, and single-molecule precise mapping of maize gene regulation aWe uncover discovered twice the number of accessible chromatin regions with Fiber-seq compared to matched ATAC-seq samples. However Notably, we find that only a small percentage of the additional accessible chromatin regions were due to low mappability. Instead, Fiber-seq detected a large number of regulatory elements that escaped detection by ATAC-seq due to size and frequency of occupancy. Overall, we find that recently transposed intact LTRs frequently encode stereotypical coupled accessible elements that do not impact the expression of neighboring genes. Notably, LTRs that lose this coupled architecture often exhibit hyper-CpG methylation directly within their accessible elements. Finally, we show that diffuse gene body chromatin accessibility and hypoCpG methylation guides the insertion landscape of DNA transposons, including those described by Barbara McClintock. Together, these findings provide insights to how mobile elements behave within and interact with the maize genome.",2024-06-03,raw sequence reads,University of Washington,no,,SUB14494635
PRJNA1117575,Genome sequencing of assembly of an elite maize inbred line Chang7-2,"Maize inbred line Chang7-2 is a major maize germplasm heterotic group in China due to its exceptional combining ability, resilience to drought and barren soil, high-level adaptability, and robust disease resistance. Chang7-2 is also an important model inbred for genetic and genomic studies. The project aims to produce a high-quality genome assembly and genome annotation of Chang7-2 through using PacBio HiFi long reads, Illumina short reads, HiC sequencing data, and RNA-seq of various tissues.",2024-05-28,raw sequence reads;Genome sequencing,Institute of Crop Sciences of CAAS,yes,,SUB14441694
PRJNA1114955,Molecular Mechanism of ZmHSFA2d Regulating Maize's Response to Heat Shock Stress,"Corn, as an important food crop and industrial raw material in China, has a very wide planting area. With the intensification of the greenhouse effect, extreme high temperatures in summer have had a serious impact on the growth, development, yield, and quality of corn; Especially in southern China, corn seeds sown in summer and autumn are susceptible to high temperature stress during germination and seedling growth, leading to a serious decrease in field emergence rate and thus affecting yield per mu. Heat shock transcription factors (HSFs) are key regulatory factors for plant tolerance to high temperature stress. But the function in maize heat stress has not been systematically studied yet. Based on transcriptome data, we found that the ZmHSFA2d gene strongly responds to heat stress.",2024-05-23,raw sequence reads,guizhou Normal university,no,,SUB14469867
PRJNA1112777,Zea mays drought- treatment Raw sequence reads,normal rna-seq of zea mays,2024-05-17,raw sequence reads,China Agricultural University,no,,SUB14455239
PRJNA1112120,Zea mays Raw sequence reads,normal RNA-seq of Zea mays Drought,2024-05-16,raw sequence reads,China Agricultural University,no,,SUB14452419
PRJNA1111354,The mechanism of exogenous ABA and BR regulating cold tolerance of maize.,"In order to explore the response mechanism of exogenous ABA and BR to improve the cold tolerance of maize seedlings and explore the related candidate genes of exogenous ABA and BR regulating the cold tolerance of cold-sensitive maize, exogenous ABA, BR and their combination were used to treat maize inbred lines with different cold tolerance. The effects of exogenous ABA, BR and their combination on the physiological characteristics of maize seedlings under 10 degrees Celsius low temperature stress were studied. Transcriptome analysis showed that the differentially expressed genes of Shen 137 were mainly enriched in hormone signal transduction, plant-pathogen interaction, carbon metabolism, starch and sucrose metabolism after low temperature or application of exogenous hormones. Four key candidate genes in response to exogenous ABA and BR under low temperature stress were screened by WGCNA. This provides further evidence for exploring the regulatory mechanism of exogenous ABA and BR on cold tolerance of maize and the interaction between ABA and BR under low temperature stress.",2024-05-14,raw sequence reads,Gansu Agricultural University,no,,SUB14442489
